symbol Z A mass binding_energy_per_nucleon
n1 0 1 939.5654204759348 0.0
h1 1 1 938.7830734813573 0.0
h2 1 2 1876.1239277295713 1.1122831000000002
h3 1 3 2809.4321181490463 2.8272654000000004
he3 2 3 2809.4135261322335 2.57268044
li3 3 3 2823.1490382533207 -2.267
h4 1 4 3750.597537894952 1.7204491000000002
he4 2 4 3728.4013255377654 7.0739156
li4 3 4 3751.2995994109783 1.1537602999999998
h5 1 5 4690.362958631272 1.3363592000000002
he5 2 5 4668.701745133244 5.5121325
li5 3 5 4669.149398843007 5.266132499999999
be5 4 5 4694.609181949093 0.018000000000000002
h6 1 6 5630.840338939951 0.9616395
he6 2 6 5606.55670872527 4.878519900000001
li6 3 6 5603.051494946114 5.3323312
be6 4 6 5607.339648148235 4.4872478000000005
b6 5 6 5636.284514905657 -0.467
h7 1 7 6569.594099328412 0.9400000000000001
he7 2 7 6546.53184418082 4.1230578
li7 3 7 6535.365821551621 5.6064400999999995
be7 4 7 6536.227714172516 5.3715487
b7 5 7 6548.135269691028 3.5587055000000003
he8 2 8 7483.56250162829 3.9245210000000004
li8 3 8 7472.898623008667 5.1597124
be8 4 8 7456.894490562875 7.0624356
b8 5 8 7474.874388135976 4.7171551
c8 6 8 7487.017088162714 3.1015242
he9 2 9 8424.382747217682 3.349038
li9 3 9 8408.401826673427 5.0377685
be9 4 9 8394.795372156681 6.4626693
b9 5 9 8395.863407459114 6.2570713
c9 6 9 8412.35789237283 4.3374233
he10 2 10 9364.1381702278 2.995134
li10 3 10 9347.993651374338 4.5313512000000005
be10 4 10 9327.548509947475 6.497630600000001
b10 5 10 9326.991634828228 6.4750835
c10 6 10 9330.639696413698 6.0320426
n10 7 10 9353.74105102624 3.6436724
li11 3 11 10287.163384426645 4.1553817
be11 4 11 10266.612294860573 5.9525402000000005
b11 5 11 10255.1028338396 6.9277323
c11 6 11 10257.0845232694 6.6764563
n11 7 11 10270.800770201517 5.3584023
o11 8 11 10294.17403912048 3.1624372
li12 3 12 11226.93880568365 3.7915999
be12 4 12 11203.006989613523 5.7207223
b12 5 12 11191.29862665686 6.6312237
c12 6 12 11177.929229005731 7.6801446
n12 7 12 11195.267296402959 6.17011
o12 8 12 11209.94256308822 4.881975499999999
li13 3 13 12166.404225703369 3.5076307000000004
be13 4 13 12143.082410655632 5.241435900000001
b13 5 13 12125.985278865464 6.4964194
c13 6 13 12112.548340756666 7.4698495000000005
