A	Z	threshold of Al 0.9mg/cm2 [MeV]
1   1   0.336
2   1   0.3654
3   1   0.363
3   2   0.953
4   2   0.9194
6   2   0.8247
8   2   0.7256
6   3   1.3551
7   3   1.2996
8   3   1.244
9   3   1.1899
11  3   1.0878
7   4   2.042
9   4   1.9084
10  4   1.8433
11  4   1.7797
12  4   1.7185
14  4   1.6029
8   5   2.698
10  5   2.5302
11  5   2.4493
12  5   2.371
13  5   2.2958
14  5   2.2223
15  5   2.154
17  5   2.024
19  5   1.9056
9   6   3.4707
10  6   3.3788
11  6   3.2882
12  6   3.2005
13  6   3.1147
14  6   3.0324
15  6   2.9528
16  6   2.8763
17  6   2.8024
18  6   2.7316
19  6   2.6633
20  6   2.5976
22  6   2.4736
12  7   4.0363
13  7   3.9411
14  7   3.8476
15  7   3.7583
16  7   3.6709
17  7   3.5876
18  7   3.5071
19  7   3.4298
20  7   3.3548
21  7   3.2828
22  7   3.2131
23  7   3.1459
13  8   4.5322
14  8   4.4165
15  8   4.3044
16  8   4.1974
17  8   4.0936
18  8   3.9947
19  8   3.8998
20  8   3.809
21  8   3.7215
22  8   3.6378
23  8   3.557
24  8   3.4795
17  9   4.5993
18  9   4.4812
19  9   4.3679
20  9   4.26
21  9   4.1571
22  9   4.0583
23  9   3.9639
24  9   3.8733
25  9   3.7864
26  9   3.7029
27  9   3.6227
29  9   3.4723
31  9   3.3333
17  10  4.9344
18  10  4.7916
19  10  4.6522
20  10  4.5259
21  10  4.4023
22  10  4.2851
23  10  4.1728
24  10  4.0663
25  10  3.9643
26  10  3.867
27  10  3.7741
28  10  3.6852
29  10  3.6004
30  10  3.5194
31  10  3.4418
32  10  3.368
20  11  4.3482
21  11  4.1991
22  11  4.0573
23  11  3.9237
24  11  3.7972
25  11  3.6779
26  11  3.565
27  11  3.4584
30  11  3.1721
35  11  2.7916
39  11  2.5568
22  12  4.5458
23  12  4.3986
24  12  4.2604
25  12  4.1287
26  12  4.005
27  12  3.8877
28  12  3.777
29  12  3.6721
30  12  3.5734
35  12  3.1536
40  12  2.8368
24  13  4.9224
25  13  4.7794
26  13  4.6435
27  13  4.515
28  13  4.3927
29  13  4.2771
30  13  4.1671
35  13  3.6957
40  13  3.3316
43  13  3.1541
24  14  5.933
25  14  5.7794
26  14  5.6346
27  14  5.4965
28  14  5.3652
29  14  5.2392
30  14  5.1193
31  14  5.0046
32  14  4.8953
35  14  4.5948
40  14  4.1751
45  14  3.8365
28  15  7.3741
29  15  7.2518
30  15  7.1326
31  15  7.0185
32  15  6.9084
33  15  6.8028
34  15  6.7004
35  15  6.6018
40  15  6.1542
45  15  5.7715
30  16  6.8957
31  16  6.7668
32  16  6.6438
33  16  6.5248
34  16  6.4108
35  16  6.3008
40  16  5.8093
45  16  5.3977
48  16  5.1814
34  17  7.1968
35  17  7.0824
36  17  6.9716
37  17  6.8652
38  17  6.7622
39  17  6.6629
40  17  6.5617
45  17  6.1335
50  17  5.7632
36  18  7.7036
37  18  7.5918
38  18  7.4843
39  18  7.3799
40  18  7.2795
41  18  7.182
42  18  7.0881
43  18  6.997
44  18  6.9089
45  18  6.8232
50  18  6.4318
53  18  6.2224
37  19  7.9117
38  19  7.7955
39  19  7.6834
40  19  7.5746
41  19  7.4698
42  19  7.3683
43  19  7.2704
44  19  7.1755
45  19  7.0837
50  19  6.6642
51  19  6.5875
55  19  6.3017
58  19  6.1075
36  20  8.3511
37  20  8.2213
38  20  8.0969
39  20  7.9767
40  20  7.861
41  20  7.7484
42  20  7.6402
43  20  7.5352
44  20  7.4341
45  20  7.336
46  20  7.2413
50  20  6.8904
55  20  6.5067
60  20  6.1744
40  21  8.5172
41  21  8.3988
42  21  8.2838
43  21  8.1727
44  21  8.0651
45  21  7.9611
46  21  7.8601
47  21  7.7626
48  21  7.668
49  21  7.5762
50  21  7.4869
55  21  7.0775
60  21  6.7215
62  21  6.5923
42  22  8.4871
43  22  8.3688
44  22  8.2551
45  22  8.1444
46  22  8.0377
47  22  7.9341
48  22  7.8342
49  22  7.737
50  22  7.643
55  22  7.2119
60  22  6.8391
64  22  6.5762
45  23  8.3471
46  23  8.2349
47  23  8.1264
48  23  8.0213
49  23  7.9198
50  23  7.8212
55  23  7.3719
60  23  6.985
65  23  6.6501
67  23  6.5286
48  24  7.6342
49  24  7.5292
50  24  7.4282
51  24  7.3304
52  24  7.2361
53  24  7.1444
54  24  7.056
55  24  6.9704
60  24  6.5819
65  24  6.2507
70  24  5.967
72  24  5.8651
50  25  7.2612
51  25  7.162
52  25  7.0657
53  25  6.9732
54  25  6.8837
55  25  6.7976
56  25  6.7143
57  25  6.6337
58  25  6.5557
59  25  6.4807
60  25  6.4081
65  25  6.08
70  25  5.8021
74  25  5.6103
50  26  7.3096
51  26  7.2078
52  26  7.1098
53  26  7.0149
54  26  6.9239
55  26  6.8359
56  26  6.7513
57  26  6.6692
58  26  6.5903
59  26  6.514
60  26  6.4406
65  26  6.1094
70  26  5.831
75  26  5.5961
54  27  6.6672
55  27  6.5806
56  27  6.4968
57  27  6.4163
58  27  6.3389
59  27  6.2645
60  27  6.1928
65  27  5.8725
70  27  5.6068
75  27  5.3857
77  27  5.3079
50  28  7.7929
51  28  7.6829
52  28  7.5775
53  28  7.4757
54  28  7.3779
55  28  7.2833
56  28  7.1926
58  28  7.0202
60  28  6.8594
64  28  6.571
70  28  6.2075
71  28  6.1538
72  28  6.1021
75  28  5.957
76  28  5.9119
77  28  5.8681
78  28  5.826
80  28  5.7455
82  28  5.6702
