A	Z	threshold of Al 9mm
1	1	12.2638
2	1	16.4996
3	1	19.5638
3	2	43.3151
4	2	48.9711
6	2	58.3817
8	2	66.0473
6	3	92.3427
7	3	98.6999
8	3	104.5772
9	3	110.0245
11	3	119.9538
7	4	136.1385
9	4	151.6112
10	4	158.6127
11	4	165.246
12	4	171.5136
14	4	183.1707
8	5	185.2549
10	5	203.6918
11	5	212.1151
12	5	220.162
13	5	227.8013
14	5	235.1188
15	5	242.1047
17	5	255.2915
19	5	267.5492
9	6	239.2127
10	6	250.0273
11	6	260.3308
12	6	270.0366
13  6   279.4072
14  6   288.3244
15  6   296.9246
16  6   305.1501
17  6   313.1017
18  6   320.7325
19  6   328.1353
20  6   335.281
21  6   342.2211
22  6   348.9569
12  7   321.3329
13  7   332.2701
14  7   342.8072
15  7   352.9344
16  7   362.7327
17  7   372.1269
18  7   381.2175
19  7   389.9808
20  7   398.4834
21  7   406.7075
22  7   414.7117
23  7   422.4763
13  8   386.3232
14  8   398.3812
15  8   410.0524
16  8   421.2451
17  8   432.1614
18  8   442.6424
19  8   452.8193
20  8   462.631
21  8   472.1858
22  8   481.4241
23  8   490.4444
24  8   499.2052
17  9   493.3388
18  9   505.2815
19  9   516.7712
20  9   527.9732
21  9   538.7995
22  9   549.3321
23  9   559.5617
24  9   569.5533
17  10  555.5894
18  10  568.8491
19  10  581.7590
20  10  594.1802
21  10  606.3434
22  10  618.1406
20  11  661.4496
21  11  674.8628
22  11  687.9281
23  11  700.6205
24  11  713.0251
25  11  725.061
20  12  729.5092
21  12  744.3002
22  12  758.6071
23  12  772.5949
24  12  786.1459
25  12  799.4839
26  12  812.3977
22  13  830.1439
23  13  845.3736
24  13  860.2182
25  13  874.6227
26  13  888.7997
27  13  902.5674
28  13  916.0917
29  13  929.2878
30  13  942.2099
22  14  902.2382
23  14  918.832
24  14  934.8585
25  14  950.5391
26  14  965.8442
27  14  980.8194
28  14  995.35
29  14  1009.6863
30  14  1023.7025
31  14  1037.442
32  14  1050.8518
33  14  1064.0774
26  15  1043.7787
27  15  1059.845
28  15  1075.5881
29  15  1090.9537
30  15  1106.1063
31  15  1120.8755
32  15  1135.3792
33  15  1149.5602
34  15  1163.5509
35  15  1177.2083
27  16  1138.8957
28  16  1155.6624
29  16  1172.215
30  16  1188.3229
31  16  1204.1447
32  16  1219.579
33  16  1234.8792
34  16  1249.8098
35  16  1264.486
36  16  1278.8188
37  16  1292.9648
38  16  1306.8544
39  16  1320.5211
40  16  1333.8827
31  17  1288.1433
32  17  1304.6787
33  17  1320.9061
34  17  1336.8378
35  17  1352.4112
36  17  1367.7406
37  17  1382.8516
38  17  1397.7207
39  17  1412.2654
40  17  1426.5736
31  18  1372.5673
32  18  1390.0502
33  18  1407.2861
34  18  1424.1118
35  18  1440.6701
36  18  1456.9452
37  18  1473.0215
38  18  1488.719
39  18  1504.2021
40  18  1519.3513
41  18  1534.3998
42  18  1549.1139
43  18  1563.6193
35  19  1529.2784
38  19  1580.016
39  19  1596.3068
41  19  1628.3479
45  19  1689.186
48  19  1732.5164
53  19  1800.7896
35  20  1618.2443
40  20  1705.7701
42  20  1738.8777
43  20  1755.0745
44  20  1771.025
46  20  1802.1655
48  20  1832.3147
54  20  1918.3173
57  20  1958.9006
60  20  1997.9385
39  21  1781.8867
43  21  1851.458
45  21  1884.6923
50  21  1963.7477
55  21  2037.6961
60  21  2107.0895
40  22  1893.757
45  22  1982.8109
46  22  1999.8657
50  22  2065.675
55  22  2143.3554
60  22  2216.2972
63  22  2258.0188
50  23  2168.176
54  23  2233.5046
60  23  2325.7557
64  23  2383.7374
67  23  2425.5586
50  24  2270.7526
55  24  2355.5402
60  24  2435.2424
63  24  2480.9766
67  24  2539.4578
70  24  2581.8691
55  25  2462.2687
60  25  2545.4498
64  25  2608.5242
70  25  2698.2505
72  25  2726.8939
51  26  2496.7216
56  26  2587.3476
60  26  2656.0812
65  26  2737.8694
70  26  2815.2771
75  26  2888.8144
50  27  2582.4025
55  27  2677.465
60  27  2767.2953
65  27  2852.0723
70  27  2932.5829
75  27  3009.0578
50  28  2687.8004
55  28  2786.4277
56  28  2805.3612
57  28  2824.2646
58  28  2842.9016
59  28  2861.354
60  28  2879.5228
61  28  2897.5357
62  28  2915.2806
63  28  2932.9653
64  28  2950.3893
65  28  2967.663
66  28  2984.6774
70  28  3051.1175
75  28  3130.5512
80  28  3206.3261
